name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Giorgi Mamardashvili,goals,948800,0.0,0.0,0.0,0.0,6.86,ge GEO,GK,Valencia,2000.0,La Liga
Ilaix Moriba,goals,1109046,1.0,1.0,0.08,0.11,6.85,gn GUI,MF,Celta Vigo,2003.0,La Liga
Domingos Duarte,goals,566425,0.0,1.0,0.01,0.01,6.85,pt POR,DF,Getafe,1995.0,La Liga
Jasper Cillessen,goals,212512,0.0,0.0,0.0,0.0,6.85,nl NED,GK,Las Palmas,1989.0,La Liga
Cristhian Mosquera,goals,1298907,0.0,1.0,0.01,0.01,6.84,es ESP,DF,Valencia,2004.0,La Liga
Benat Prados,goals,1229176,0.0,1.0,0.05,0.07,6.84,es ESP,MF,Athletic Club,1997.0,La Liga
Viti,goals,753724,2.0,0.0,0.0,0.06,6.84,es ESP,DF,Las Palmas,1997.0,La Liga
Dario Essugo,goals,1239595,0.0,1.0,0.03,0.03,6.84,pt POR,MF,Las Palmas,2005.0,La Liga
Carlos Romero,goals,1395964,1.0,2.0,0.07,0.08,6.84,es ESP,DF,Espanyol,2001.0,La Liga
Jesus Areso,goals,1037537,3.0,0.0,0.0,0.07,6.83,es ESP,DF,Osasuna,1997.0,La Liga
Marash Kumbulla,goals,872362,0.0,3.0,0.06,0.01,6.83,al ALB,DF,Espanyol,2000.0,La Liga
Romain Perraud,goals,815465,2.0,2.0,0.02,0.06,6.83,fr FRA,DF,Betis,1997.0,La Liga
José Giménez,goals,474589,1.0,0.0,0.02,0.01,6.83,uy URY,DF,Atlético Madrid,1995.0,La Liga
Pepelu,goals,673689,2.0,2.0,0.11,0.14,6.83,es ESP,MF,Valencia,1999.0,La Liga
Javier Munoz,goals,616531,3.0,1.0,0.04,0.08,6.83,es ESP,MF,Las Palmas,1995.0,La Liga
Robert Navarro,goals,1011117,0.0,1.0,0.14,0.1,6.82,es ESP,MF,Mallorca ,2000.0,La Liga
Juan Cruz,goals,940608,3.0,4.0,0.07,0.14,6.82,es ESP,FW,Leganés,2000.0,La Liga
Seydouba Cisse,goals,1287783,0.0,3.0,0.08,0.02,6.82,ml MLI,MF,Leganés,1997.0,La Liga
Aitor Paredes,goals,1191407,0.0,3.0,0.12,0.01,6.82,es ESP,DF,Athletic Club,2000.0,La Liga
Jesus Rodriguez,goals,1624039,0.0,2.0,0.2,0.06,6.82,es ESP,MF,Betis,1998.0,La Liga
Logan Costa,goals,922877,0.0,2.0,0.03,0.02,6.82,cv CPV,DF,Villarreal,2001.0,La Liga
Adrià Pedrosa,goals,927646,1.0,1.0,0.03,0.06,6.81,es ESP,DF,Sevilla,1998.0,La Liga
Sergio Carreira,goals,1106742,4.0,0.0,0.03,0.14,6.81,es ESP,MF,Celta Vigo,2000.0,La Liga
Fermin Lopez,goals,1404415,4.0,4.0,0.42,0.32,6.81,es ESP,MF,Barcelona,2000.0,La Liga
Carl Starfelt,goals,497662,0.0,1.0,0.02,0.01,6.81,se SWE,DF,Celta Vigo,1995.0,La Liga
Alex Remiro,goals,616539,0.0,0.0,0.0,0.0,6.8,es ESP,GK,Real Sociedad,1995.0,La Liga
José Campana,goals,213502,3.0,0.0,0.01,0.08,6.8,es ESP,MF,Levante,1994.0,La Liga
Javier Guerra,goals,1284429,3.0,3.0,0.08,0.12,6.8,es ESP,MF,Valencia,2003.0,La Liga
César Tárrega,goals,1311985,0.0,2.0,0.06,0.01,6.8,es ESP,DF,Valencia,2002.0,La Liga
Pedro Diaz,goals,715069,0.0,3.0,0.17,0.15,6.8,es ESP,MF,Rayo Vallecano,1999.0,La Liga
Abdelkabir Abqar,goals,956921,1.0,0.0,0.03,0.01,6.8,ma MAR,DF,Alavés,2000.0,La Liga
Viktor Tsygankov,goals,678901,8.3,9.0,0.35,0.3,7.8,ua UKR,FW,Girona,1997.0,La Liga
José Copete,goals,896402,0.0,0.0,0.03,0.01,6.8,es ESP,DF,Mallorca,1998.0,La Liga
Nemanja Gudelj,goals,178753,1.0,1.0,0.06,0.04,6.79,rs SRB,MF,Sevilla,1991.0,La Liga
Kike Garcia,goals,183353,0.0,12.0,0.33,0.06,6.79,es ESP,FW,Alavés,1994.0,La Liga
Yaser Asprilla,goals,1277380,0.0,3.0,0.13,0.23,6.79,co COL,FW,Girona,2003.0,La Liga
André Almeida,goals,777028,3.0,0.0,0.06,0.23,6.79,pt POR,MF,Celta,1995.0,La Liga
Pablo Durán,goals,1322858,4.0,4.0,0.23,0.07,6.78,es ESP,FW,Celta Vigo,2001.0,La Liga
Flavien Boyomo,goals,1187734,0.0,2.0,0.04,0.02,6.78,cm CMR,DF,Osasuna,1997.0,La Liga
Chidera Ejuke,goals,837270,1.0,2.0,0.1,0.11,6.78,ng NGA,FW,Sevilla,1998.0,La Liga
Jon Moncayola,goals,921825,0.0,0.0,0.07,0.2,6.78,es ESP,MF,Osasuna,1998.0,La Liga
Abel Bretones,goals,1323398,0.0,2.0,0.02,0.06,6.77,es ESP,DF,Osasuna,1998.0,La Liga
Orjan Haskjold Nyland,goals,73409,0.0,0.0,0.0,0.0,6.77,no NOR,GK,Sevilla,1995.0,La Liga
Alex Kral,goals,836797,1.0,0.0,0.05,0.05,6.76,cz CZE,MF,Espanyol,1998.0,La Liga
Javi Rodriguez,goals,1435439,2.0,3.0,0.09,0.04,6.75,es ESP,DF,Celta Vigo,1999.0,La Liga
Daniel Rodriguez,goals,213516,7.0,4.0,0.12,0.15,6.74,es ESP,FW,Barcelona,1998.0,La Liga
Kike Pérez,goals,888167,0.0,2.0,0.15,0.08,6.74,es ESP,MF,Valladolid,1997.0,La Liga
Aitor Ruibal,goals,676533,3.0,1.0,0.06,0.14,6.74,es ESP,DF,Betis,1996.0,La Liga
Juanlu Sánchez,goals,1158512,4.0,4.0,0.15,0.09,6.74,es ESP,MF,Sevilla,2003.0,La Liga
David Lopez,goals,215584,0.0,1.0,0.03,0.02,6.73,es ESP,DF,Girona,1991.0,La Liga
Mika Mármol,goals,1225450,1.0,0.0,0.02,0.08,6.73,es ESP,MF,Las Palmas,2000.0,La Liga
Alfon González,goals,926643,2.0,4.0,0.29,0.15,6.73,es ESP,FW,Celta Vigo,1997.0,La Liga
Antonio Blanco,goals,845998,1.0,0.0,0.03,0.06,6.72,es ESP,MF,Alavés,2000.0,La Liga
Fran Beltrán,goals,785511,1.0,2.0,0.04,0.07,6.71,es ESP,MF,Celta Vigo,1999.0,La Liga
Djené,goals,421365,0.0,0.0,0.01,0.03,6.7,tg TOG,DF,Getafe,1991.0,La Liga
Borja Iglesias,goals,609505,3.0,10.0,0.41,0.07,6.69,es ESP,FW,Celta Vigo,1993.0,La Liga
Jorge de Frutos,goals,797901,3.0,4.0,0.19,0.09,6.69,es ESP,MF,Rayo Vallecano,1997.0,La Liga
Hugo Sotelo,goals,1254218,0.0,0.0,0.01,0.13,6.68,es ESP,MF,Celta Vigo,2003.0,La Liga
Hugo Duro,goals,929838,2.0,11.0,0.41,0.02,6.68,es ESP,FW,Valencia,1999.0,La Liga
Alex Munoz,goals,512040,0.0,3.0,0.05,0.04,6.67,es ESP,DF,Las Palmas,1998.0,La Liga
Omar Mascarell,goals,359191,0.0,1.0,0.02,0.01,6.67,gq EQG,MF,Mallorca,1993.0,La Liga
Oliver McBurnie,goals,509151,6.0,3.0,0.26,0.05,6.66,sct SCO,FW,Las Palmas,1996.0,La Liga
Jofre Carreras,goals,1184777,3.0,3.0,0.1,0.08,6.66,es ESP,FW,Espanyol,1996.0,La Liga
Iván Sánchez,goals,553256,1.0,2.0,0.04,0.16,6.65,es ESP,MF,Valladolid,1992.0,La Liga
Pol Lozano,goals,750031,1.0,0.0,0.01,0.05,6.65,es ESP,MF,Espanyol,1999.0,La Liga
Carles Alena,goals,637756,2.0,0.0,0.1,0.07,6.65,es ESP,MF,Getafe,1997.0,La Liga
Paulo Gazzaniga,goals,278285,0.0,0.0,0.0,0.0,6.64,ar ARG,GK,Girona,1992.0,La Liga
Sergio González,goals,813771,0.0,2.0,0.05,0.02,6.64,es ESP,DF,Leganés,1998.0,La Liga
Mikel Vesga,goals,616545,0.0,0.0,0.12,0.06,6.64,es ESP,MF,Athletic Club,1993.0,La Liga
Oscar Rodriguez,goals,863168,4.0,1.0,0.13,0.11,6.64,es ESP,MF,Leganés,1997.0,La Liga
Álvaro Tejero,goals,671685,4.0,1.0,0.05,0.26,6.64,es ESP,DF,Espanyol,1996.0,La Liga
Diego Conde,goals,1022354,1.0,0.0,0.0,0.0,6.63,es ESP,GK,Villarreal,1998.0,La Liga
Vicente Guaita,goals,109222,0.0,0.0,0.0,0.0,6.63,es ESP,GK,Celta Vigo,1987.0,La Liga
Manuel Sánchez,goals,1052330,0.0,1.0,0.06,0.05,6.62,es ESP,DF,Alavés,1996.0,La Liga
Donny van de Beek,goals,612836,2.0,2.0,0.1,0.22,6.62,nl NED,MF,Girona,1997.0,La Liga
Arnaut Danjuma,goals,704151,0.0,4.0,0.26,0.14,6.62,nl NED,FW,Villarreal,1997.0,La Liga
Arnaut Danjuma,goals,704151,0.0,4.0,0.26,0.14,6.62,nl NED,FW,Girona,1997.0,La Liga
Igor Zubeldia,goals,698653,0.0,0.0,0.02,0.02,6.62,es ESP,DF,Real Sociedad,1997.0,La Liga
Manuel Fuster,goals,916546,1.0,2.0,0.08,0.18,6.62,es ESP,MF,Las Palmas,1997.0,La Liga
Williot Swedberg,goals,1272740,4.0,4.0,0.37,0.14,6.62,se SWE,MF,Celta Vigo,2004.0,La Liga
Chrisantus Uche,goals,1580704,5.0,3.0,0.14,0.1,6.61,ng NGA,MF,Getafe,2003.0,La Liga
Brais Méndez,goals,640122,1.0,3.0,0.22,0.12,6.61,es ESP,MF,Real Sociedad,1997.0,La Liga
Dimitri Foulquier,goals,261609,1.0,0.0,0.02,0.08,6.61,fr FRA,DF,Valencia,1993.0,La Liga
Oscar Valentin,goals,956622,0.0,0.0,0.02,0.06,6.61,es ESP,MF,Rayo Vallecano,1997.0,La Liga
Selim Amallah,goals,658658,1.0,3.0,0.19,0.07,6.61,ma MAR,MF,Valladolid,1996.0,La Liga
Iván Martin,goals,967871,1.0,1.0,0.06,0.09,6.6,es ESP,MF,Girona,1999.0,La Liga
Aritz Elustondo,goals,607148,0.0,0.0,0.03,0.03,6.6,es ESP,DF,Real Sociedad,1994.0,La Liga
Gorka Guruzeta,goals,711231,2.0,6.0,0.3,0.03,6.59,es ESP,FW,Athletic Club,1996.0,La Liga
Javier Hernández,goals,881786,1.0,1.0,0.03,0.05,6.58,es ESP,DF,Leganés,1996.0,La Liga
Sergio Camello,goals,980422,2.0,3.0,0.35,0.09,6.58,es ESP,FW,Rayo Vallecano,2001.0,La Liga
Ezequiel Ávila,goals,361724,0.0,2.0,0.25,0.13,6.57,ar ARG,FW,Betis,1994.0,La Liga
Anuar,goals,580591,0.0,2.0,0.09,0.03,6.56,ma MAR,FW,Valladolid,1995.0,La Liga
Jon Guridi,goals,678192,1.0,3.0,0.16,0.04,6.56,es ESP,MF,Alavés,1995.0,La Liga
Oriol Romeu,goals,212470,0.0,0.0,0.01,0.05,6.56,es ESP,MF,Girona,1991.0,La Liga
Aihen Munoz,goals,999159,0.0,0.0,0.01,0.01,6.56,es ESP,DF,Real Sociedad,1997.0,La Liga
Moussa Diarra,goals,1054522,0.0,0.0,0.0,0.02,6.56,ml MLI,DF,Alavés,2000.0,La Liga
Matija Nastasic,goals,213485,0.0,1.0,0.0,0.02,6.56,rs SRB,DF,Leganés,1993.0,La Liga
Ander Guevara,goals,873827,1.0,0.0,0.04,0.03,6.55,es ESP,MF,Alavés,1997.0,La Liga
Mikel Oyarzabal,goals,678234,2.0,8.0,0.35,0.08,6.55,es ESP,FW,Real Sociedad,1997.0,La Liga
Antoniu Roca,goals,1323403,1.0,0.0,0.09,0.1,6.54,es ESP,FW,Espanyol,1998.0,La Liga
Antonio Martinez,goals,640123,0.0,4.0,0.31,0.08,6.54,es ESP,FW,Alavés,1997.0,La Liga
Carlos Martin,goals,1282015,2.0,2.0,0.16,0.09,6.53,es ESP,FW,Alavés,1998.0,La Liga
Antonio Sánchez,goals,1055327,0.0,0.0,0.08,0.06,6.53,es ESP,MF,Mallorca,1997.0,La Liga
Adrián Embarba,goals,482331,1.0,1.0,0.12,0.15,6.53,es ESP,FW,Espanyol,1993.0,La Liga
Adrià Altimira,goals,1256478,0.0,0.0,0.02,0.03,6.52,es ESP,DF,Leganés,2001.0,La Liga
Carles Pérez,goals,873297,0.0,3.0,0.15,0.08,6.52,es ESP,FW,Getafe,1998.0,La Liga
Marcos de Sousa,goals,821271,2.0,1.0,0.2,0.02,6.52,pt POR,FW,Valladolid,1999.0,La Liga
Iván Balliu,goals,264885,0.0,0.0,0.0,0.03,6.52,al ALB,DF,Rayo Vallecano,1992.0,La Liga
Vitor Roque,goals,1339347,0.0,4.0,0.44,0.05,6.51,br BRA,FW,Betis,2005.0,La Liga
Javi Lopez,goals,1159181,0.0,0.0,0.0,0.05,6.5,es ESP,DF,Real Sociedad,1988.0,La Liga
Ander Barrenetxea,goals,1002618,3.0,1.0,0.12,0.17,6.5,es ESP,MF,Real Sociedad,2001.0,La Liga
Pablo Ibánez,goals,1238154,1.0,1.0,0.12,0.03,6.5,es ESP,MF,Osasuna,1997.0,La Liga
Darko Brasanac,goals,198235,2.0,1.0,0.1,0.03,6.49,rs SRB,MF,Leganes,1991.0,La Liga
Jon Olasagasti,goals,1131957,1.0,1.0,0.1,0.08,6.49,es ESP,MF,Real Sociedad,1999.0,La Liga
Cristhian Stuani,goals,58294,2.0,9.0,0.72,0.1,6.49,uy URU,FW,Girona,1986.0,La Liga
Abel Ruiz,goals,748380,0.0,4.0,0.35,0.05,6.48,es ESP,FW,Girona,2000.0,La Liga
Scott McKenna,goals,551805,0.0,0.0,0.03,0.02,6.48,sct SCO,DF,Las Palmas,1996.0,La Liga
Umar Sadiq,goals,590494,0.0,5.0,0.36,0.05,6.48,ng NGA,FW,Valencia,1997.0,La Liga
Umar Sadiq,goals,590494,0.0,5.0,0.36,0.05,6.48,ng NGA,FW,Real Sociedad,1997.0,La Liga
Takuma Asano,goals,430856,1.0,2.0,0.21,0.05,6.47,jp JPN,FW,Mallorca,1994.0,La Liga
Karl Hein,goals,982692,0.0,0.0,0.0,0.0,6.46,ee EST,GK,Valladolid,1998.0,La Liga
Mamadou Sylla,goals,629579,2.0,5.0,0.31,0.04,6.46,sn SEN,FW,Valladolid,1994.0,La Liga
Gerard Gumbau,goals,522234,1.0,0.0,0.11,0.09,6.46,es ESP,MF,Rayo Vallecano,1994.0,La Liga
Lucas Rosa,goals,1357723,1.0,0.0,0.04,0.07,6.45,es ESP,DF,Valladolid,1999.0,La Liga
Moi Gomez,goals,262592,0.0,0.0,0.05,0.13,6.45,es ESP,MF,Osasuna,1996.0,La Liga
Juanmi,goals,191873,0.0,0.0,0.36,0.03,6.45,es ESP,FW,Getafe,1993.0,La Liga
Juanmi,goals,191873,0.0,0.0,0.36,0.03,6.45,es ESP,FW,Betis,1993.0,La Liga
Isaac Romero,goals,1130991,2.0,4.0,0.28,0.09,6.45,es ESP,FW,Sevilla,2000.0,La Liga
Álvaro Rodriguez,goals,1327406,0.0,2.0,0.14,0.03,6.44,es ESP,FW,Getafe,2001.0,La Liga
Alex Sola,goals,895953,1.0,0.0,0.08,0.07,6.43,es ESP,MF,Getafe,1999.0,La Liga
Gerard Fernandez,goals,1132607,1.0,1.0,0.2,0.08,6.43,es ESP,FW,Sevilla,2001.0,La Liga
Sheraldo Becker,goals,495222,1.0,2.0,0.18,0.15,6.43,sr SUR,FW,Real Sociedad,1995.0,La Liga
Anastasios Douvikas,goals,873270,1.0,3.0,0.57,0.03,6.42,gr GRE,FW,Celta Vigo,1999.0,La Liga
Mario Martin,goals,1321605,1.0,0.0,0.07,0.07,6.4,es ESP,MF,Valladolid,1999.0,La Liga
Bertug Yildirim,goals,1282765,0.0,1.0,0.21,0.05,6.4,tr TUR,MF,Getafe,1998.0,La Liga
Benat Turrientes,goals,1210647,0.0,0.0,0.05,0.04,6.39,es ESP,MF,Real Sociedad,1999.0,La Liga
Stanko Juric,goals,953065,0.0,0.0,0.04,0.01,6.38,hr CRO,MF,Valladolid,1997.0,La Liga
Rubén Pena,goals,364239,0.0,0.0,0.09,0.1,6.38,es ESP,DF,Osasuna,1990.0,La Liga
Darwin Machis,goals,289278,1.0,0.0,0.13,0.13,6.38,ve VEN,FW,Valladolid,1997.0,La Liga
Randy Nteka,goals,915264,0.0,3.0,0.23,0.03,6.37,ao ANG,FW,Rayo Vallecano,1997.0,La Liga
Álvaro Djalo,goals,123456,6.5,3.0,0.14,0.08,6.2,pt POR,FW,Athletic Club,1999.0,La Liga
Cédric Bakambu,goals,201939,2.0,2.0,0.45,0.11,6.36,cd COD,FW,Betis,1991.0,La Liga
Unai Gomez,goals,1436270,2.0,1.0,0.11,0.07,6.35,es ESP,MF,Athletic Club,1998.0,La Liga
Ángel Correa,goals,432950,1.0,3.0,0.54,0.22,6.34,ar ARG,FW,Atlético Madrid,1995.0,La Liga
Diego Garcia,goals,1256237,0.0,3.0,0.35,0.02,6.33,es ESP,MF,Leganés,1998.0,La Liga
Cyle Larin,goals,544312,2.0,6.0,0.33,0.02,6.33,ca CAN,FW,Mallorca,1995.0,La Liga
Munir El Haddadi,goals,522579,0.0,4.0,0.15,0.05,6.32,ma MAR,FW,Leganés,1995.0,La Liga
Marvin Park,goals,1106895,0.0,0.0,0.03,0.12,6.32,es ESP,FW,Las Palmas,1996.0,La Liga
Javi Sánchez,goals,683761,0.0,2.0,0.02,0.02,6.32,es ESP,DF,Valladolid,1997.0,La Liga
Alex Suárez,goals,879609,0.0,0.0,0.02,0.01,6.32,es ESP,MF,Las Palmas,1997.0,La Liga
Borja Mayoral,goals,635772,1.0,4.0,0.32,0.03,6.31,es ESP,FW,Getafe,1997.0,La Liga
Juanmi Latasa,goals,1231032,0.0,3.0,0.31,0.03,6.3,es ESP,FW,Valladolid,2001.0,La Liga
Walid Cheddira,goals,1078113,1.0,1.0,0.14,0.07,6.29,ma MAR,FW,Espanyol,1998.0,La Liga
Orri Oskarsson,goals,1097229,0.0,3.0,0.49,0.04,6.29,is ISL,MF,Real Sociedad,1997.0,La Liga
Rafa Mir,goals,640492,2.0,0.0,0.4,0.06,6.28,es ESP,FW,Valencia,1997.0,La Liga
Luis Pérez,goals,766957,0.0,0.0,0.01,0.09,6.27,es ESP,DF,Valladolid,1995.0,La Liga
Alejo Veliz,goals,1250658,0.0,1.0,0.19,0.01,6.24,ar ARG,FW,Espanyol,1999.0,La Liga
Raul Garcia,goals,1094778,0.0,2.0,0.33,0.06,6.21,es ESP,FW,Athletic Bilbao,1986.0,La Liga
Miguel de la Fuente,goals,902901,3.0,1.0,0.26,0.04,6.19,es ESP,FW,Leganés,1997.0,La Liga
Jaime Mata,goals,573748,0.0,0.0,0.4,0.05,6.16,es ESP,FW,Las Palmas,1988.0,La Liga
Eray Cömert,goals,705484,0.0,0.0,0.05,0.01,6.03,ch SUI,DF,Valladolid,1998.0,La Liga
David Torres,goals,1395716,0.0,0.0,0.02,0.01,5.94,es ESP,DF,Valladolid,2003.0,La Liga
